GQ Electronics LLC, GMC Data Viewer,Version 2.71
Date Time,Type,uSv/h,CPM,#1(CPS),#2(CPS),#3(CPS),#4(CPS),#5(CPS),#6(CPS),#7(CPS),#8(CPS),#9(CPS),#10(CPS),#11(CPS),#12(CPS),#13(CPS),#14(CPS),#15(CPS),#16(CPS),#17(CPS),#18(CPS),#19(CPS),#20(CPS),#21(CPS),#22(CPS),#23(CPS),#24(CPS),#25(CPS),#26(CPS),#27(CPS),#28(CPS),#29(CPS),#30(CPS),#31(CPS),#32(CPS),#33(CPS),#34(CPS),#35(CPS),#36(CPS),#37(CPS),#38(CPS),#39(CPS),#40(CPS),#41(CPS),#42(CPS),#43(CPS),#44(CPS),#45(CPS),#46(CPS),#47(CPS),#48(CPS),#49(CPS),#50(CPS),#51(CPS),#52(CPS),#53(CPS),#54(CPS),#55(CPS),#56(CPS),#57(CPS),#58(CPS),#59(CPS),#60(CPS),

2024-10-24 22:08,Every Second,0.149,23,1,0,0,0,1,0,2,0,0,0,1,0,4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,
2024-10-24 22:09,Every Second,0.169,26,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,3,0,0,1,1,2,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,
2024-10-24 22:10,Every Second,0.149,23,0,1,0,0,0,0,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,
2024-10-24 22:11,Every Second,-0,0,
2024-10-24 22:11,Every Second,0.143,22,0,1,0,0,2,0,1,0,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,
2024-10-24 22:12,Every Second,0.111,17,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,2,2,1,0,0,0,0,1,0,0,0,1,0,0,1,0,
2024-10-24 22:13,Every Second,0.123,19,1,0,0,0,1,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,1,0,0,0,0,2,0,0,0,0,0,0,
2024-10-24 22:14,Every Second,0.039,6,1,0,0,1,1,0,0,1,1,1,
2024-10-24 22:15,Every Second,5.590,860,11,14,9,11,7,10,12,0,6,2,2,3,0,0,3,2,6,2,5,2,1,4,6,5,4,8,13,1,3,2,2,2,0,1,2,14,19,25,29,29,35,31,20,31,32,29,30,22,30,24,25,28,35,29,26,43,31,29,24,29,
2024-10-24 22:16,Every Second,12.246,1884,46,30,42,31,27,33,31,37,29,41,23,34,35,39,30,25,33,23,30,25,25,27,38,36,31,34,34,32,30,24,21,34,25,38,41,28,39,23,25,20,34,24,32,34,24,29,44,35,39,32,30,35,35,38,25,26,22,26,32,39,
2024-10-24 22:17,Every Second,11.752,1808,25,28,27,38,31,28,27,35,36,29,33,30,36,25,28,32,21,37,33,28,26,23,25,40,27,31,31,41,35,38,25,28,30,24,40,33,28,24,30,32,20,27,22,28,25,40,35,30,26,34,32,30,35,31,23,16,29,28,38,41,
2024-10-24 22:18,Every Second,12.694,1953,30,36,38,39,41,32,34,39,43,33,32,30,26,30,33,28,33,39,39,26,26,21,32,23,33,25,25,30,38,36,37,34,35,42,27,40,30,31,32,37,31,32,33,36,43,32,30,31,28,29,26,37,24,24,35,34,30,44,32,27,
2024-10-24 22:19,Every Second,11.778,1812,25,18,31,18,34,32,39,28,30,26,30,36,36,28,26,28,38,22,37,32,27,30,30,30,32,25,35,30,33,34,35,37,29,36,34,24,35,31,20,28,33,21,27,27,25,27,27,50,31,33,40,32,17,36,30,17,34,27,36,33,
2024-10-24 22:20,Every Second,11.356,1747,39,34,34,22,31,29,33,36,24,25,29,30,22,27,27,22,18,32,29,38,22,40,25,21,47,29,40,30,29,30,37,23,20,36,21,30,26,30,28,31,28,27,21,37,33,42,35,22,24,21,23,33,28,25,29,29,32,28,27,27,
2024-10-24 22:21,Every Second,11.830,1820,26,30,35,43,29,25,26,33,40,33,19,22,31,35,28,31,29,30,29,24,32,36,38,30,44,32,22,35,27,31,26,27,29,28,32,24,29,31,29,29,32,26,29,21,30,38,23,31,27,29,35,36,34,31,38,35,25,30,36,25,
2024-10-24 22:22,Every Second,12.161,1871,33,32,43,31,34,30,31,31,31,27,36,35,28,34,33,22,48,28,27,34,22,32,39,29,32,31,23,34,30,26,36,34,46,33,29,33,39,26,31,35,25,32,21,24,33,37,28,31,28,21,32,21,27,30,30,33,33,29,26,42,
2024-10-24 22:23,Every Second,11.817,1818,39,39,24,27,35,32,32,32,20,31,44,34,36,35,29,25,37,34,32,38,25,28,42,19,22,27,35,24,24,40,31,26,24,33,33,28,34,30,20,24,18,33,29,24,24,22,42,31,34,30,32,27,29,27,30,19,27,46,39,31,
2024-10-24 22:24,Every Second,12.135,1867,30,39,33,38,32,27,33,33,31,28,32,30,25,33,28,33,40,31,30,27,26,29,27,29,36,42,32,38,32,28,28,29,35,37,34,36,22,29,31,22,34,22,32,30,29,41,27,35,31,31,40,32,26,35,27,32,26,26,31,25,
2024-10-24 22:25,Every Second,11.908,1832,25,32,29,31,41,36,26,23,29,37,29,29,18,14,21,34,35,27,18,27,26,38,28,29,26,31,30,38,32,39,30,31,29,29,33,29,28,43,29,30,27,33,32,33,27,37,31,51,38,21,39,33,43,23,30,26,31,32,31,25,
2024-10-24 22:26,Every Second,11.927,1835,35,30,36,29,34,33,35,29,32,31,31,28,24,29,27,36,31,36,21,34,36,31,34,22,37,37,39,31,36,25,29,30,32,27,34,32,38,28,26,30,27,27,26,26,19,26,19,23,44,34,30,35,29,27,29,31,35,31,25,37,
2024-10-24 22:27,Every Second,11.823,1819,32,24,32,29,30,24,28,37,21,25,24,30,34,32,29,18,25,31,28,39,27,40,33,38,35,37,23,32,33,25,34,37,23,35,28,23,27,25,33,29,26,30,27,35,24,32,26,30,33,36,37,30,28,38,33,31,33,31,43,27,
2024-10-24 22:28,Every Second,12.012,1848,43,30,22,26,25,34,32,37,31,36,39,32,18,33,34,31,34,27,27,27,26,32,26,17,25,27,35,37,29,35,33,31,25,33,37,27,39,32,27,30,39,30,35,37,34,32,34,40,33,26,32,28,38,32,26,16,27,32,25,31,
2024-10-24 22:29,Every Second,12.090,1860,23,29,29,35,35,31,31,32,35,39,27,24,24,31,28,28,40,41,31,33,26,34,34,28,35,27,35,32,38,29,26,27,23,24,40,23,26,37,32,29,32,31,33,37,26,18,27,27,35,34,33,34,34,27,42,31,20,33,34,41,
2024-10-24 22:30,Every Second,11.811,1817,29,24,23,34,36,28,32,30,37,28,29,27,34,20,33,29,39,26,29,32,34,23,27,20,33,32,32,30,30,31,31,34,32,37,33,29,27,32,29,31,32,26,31,22,31,38,40,31,26,18,38,25,29,25,44,31,28,32,33,31,
2024-10-24 22:31,Every Second,11.186,1721,19,27,25,32,25,38,31,31,27,25,23,28,34,25,21,37,31,16,27,31,29,27,26,34,27,28,28,22,30,21,31,30,28,33,34,36,30,36,29,30,26,31,30,38,35,38,28,27,25,33,23,29,25,33,15,26,26,30,27,34,
2024-10-24 22:32,Every Second,11.921,1834,28,17,34,37,33,32,32,20,30,30,29,32,38,34,34,32,31,28,30,29,32,37,32,32,37,26,28,36,20,40,36,37,28,33,21,30,26,34,31,27,25,34,24,38,33,26,34,25,27,38,32,33,28,28,25,30,30,34,28,29,
2024-10-24 22:33,Every Second,11.765,1810,32,24,37,43,37,28,24,33,32,34,37,23,24,31,33,17,33,26,19,37,30,36,34,35,30,31,31,27,23,37,28,36,36,36,29,31,31,32,24,37,26,20,31,29,19,28,26,36,29,16,27,34,33,34,36,28,26,32,25,37,
2024-10-24 22:34,Every Second,11.693,1799,36,41,25,33,23,38,17,26,29,30,31,25,29,19,21,36,35,39,36,37,42,32,34,36,28,38,30,25,20,24,24,27,32,31,25,33,28,31,29,23,40,30,29,23,29,18,28,34,42,26,31,34,36,28,26,32,41,22,22,30,
2024-10-24 22:35,Every Second,12.071,1857,28,35,30,30,21,31,34,40,26,27,36,34,25,33,27,40,27,24,28,31,34,30,29,37,32,28,30,38,41,34,34,33,39,34,27,32,32,30,33,25,28,27,32,23,29,32,38,27,22,32,38,28,36,29,33,32,30,39,18,25,
2024-10-24 22:36,Every Second,11.414,1756,23,27,17,28,33,37,34,35,34,26,38,25,30,27,39,30,17,30,21,31,32,29,23,33,25,23,27,24,32,27,36,27,35,42,34,31,34,27,27,31,31,26,30,37,30,29,28,29,28,25,38,21,24,27,32,30,25,28,23,34,
2024-10-24 22:37,Every Second,11.544,1776,39,31,30,36,39,34,37,29,27,30,33,29,25,26,28,32,36,26,32,20,27,29,32,23,19,21,26,27,36,38,31,31,38,26,27,26,31,32,32,34,28,32,25,43,25,21,29,41,18,15,20,21,34,31,32,36,38,21,40,21,
2024-10-24 22:38,Every Second,11.785,1813,27,29,39,30,26,33,39,22,42,19,29,32,29,26,40,24,27,29,28,40,33,34,35,22,29,32,32,37,28,40,33,33,28,33,31,28,25,29,31,21,24,39,32,33,24,31,28,27,43,32,31,34,29,29,38,17,21,30,27,20,
2024-10-24 22:39,Every Second,11.590,1783,26,35,21,22,24,32,26,22,37,27,32,39,22,37,26,26,31,32,23,42,36,27,20,29,29,28,33,39,33,32,36,45,28,32,28,19,34,28,24,32,25,30,33,25,32,31,30,32,41,17,26,34,40,36,34,17,27,26,25,28,
2024-10-24 22:40,Every Second,11.849,1823,27,29,34,31,32,18,31,28,27,32,32,26,39,39,34,31,30,27,38,39,29,37,31,26,28,34,31,45,26,25,24,34,30,23,23,32,31,31,28,34,24,25,32,25,22,31,26,34,42,22,40,27,37,33,27,37,27,26,32,28,
2024-10-24 22:41,Every Second,12.344,1899,37,36,35,21,45,25,15,32,27,33,34,31,22,30,29,27,37,33,31,40,34,27,39,27,31,42,33,26,28,31,23,31,30,39,31,31,39,36,24,35,38,42,21,24,28,25,34,28,31,33,39,32,42,32,29,39,33,23,35,34,
2024-10-24 22:42,Every Second,12.337,1898,35,36,31,37,27,47,41,32,34,29,27,27,30,29,35,24,41,33,32,28,26,31,40,28,20,29,29,28,28,24,35,31,38,35,28,21,43,42,35,35,32,26,24,35,32,33,21,30,21,39,39,28,28,34,41,30,34,29,25,36,
2024-10-24 22:43,Every Second,11.843,1822,26,38,28,36,25,40,25,29,37,33,25,26,28,35,25,29,27,28,27,27,23,32,21,33,30,27,28,34,40,31,23,43,23,31,35,38,25,32,30,22,31,35,39,19,16,45,29,23,39,31,32,24,29,29,42,25,39,39,34,27,
2024-10-24 22:44,Every Second,11.785,1813,30,26,22,24,28,29,27,29,31,25,40,32,28,30,33,37,26,28,35,27,33,38,25,43,38,40,35,18,33,25,32,27,30,34,23,32,29,29,37,35,32,29,26,27,34,32,31,33,36,32,21,44,16,21,36,28,26,30,24,32,
